case_id,model,weight_precision,cache_codec,key_cache_algorithm,value_cache_algorithm,key_cache_precision,value_cache_precision,status,executed,failure_stage,failure_reason,model_path,model_sha256,model_size_bytes,context_tokens,max_new_tokens,load_ms,ttft_ms,prompt_tps,tpot_ms,decode_tps,generation_duration_ms,peak_working_set_mb,peak_private_mb,available_ram_min_mb,kv_mb,quality_score,quality_prompt_count,raw_result_path,raw_result_sha256,openvino_url,openvino_commit,openvino_genai_url,openvino_genai_commit,turboquant_merge_commit
granite-3b__int4__f16,granite-3b,int4,f16,,,f16,f16,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,24,32,1651.0,5544.200684,,60.796921,16.448201,7429.415039,3636.703,1914.754,6388.387,,5.7708,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int4__f16.json,544112ed79b9280ac13a99076fcd242b6993c7365f2f2d870962e2662a3b5c62,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__int8__f16,granite-3b,int8,f16,,,f16,f16,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,24,32,1922.0,1012.513428,,99.379341,10.062454,4093.946045,6645.016,3428.191,3264.113,,5.7708,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-3b__int8__f16.json,6961b4765204ed42b479f271e7bcea8374bb5d67cc77e68c49280568eb685064,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-3b__fp16__f16,granite-3b,fp16,f16,,,f16,f16,conversion_failed,false,model_conversion,emergency_ram_floor_reached,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int4__tbq3,granite-8b,int4,tbq3,TURBO,TURBO,u3,u3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,23,32,1621.0,14040.073242,,140.942261,7.095104,18409.865234,8537.84,4375.375,1621.676,,5.2083,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-8b__int4__tbq3.json,58ad3684b4ef33b34c11f263efa58a8261c428a6e52aadc321d3137ce94f1696,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int8__tbq3,granite-8b,int8,tbq3,TURBO,TURBO,u3,u3,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__fp16__tbq3,granite-8b,fp16,tbq3,TURBO,TURBO,u3,u3,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int4__u4,granite-8b,int4,u4,SCALAR,SCALAR,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,23,32,1587.0,13993.325195,,132.234207,7.56234,18093.087891,8538.504,4376.324,1636.969,,5.375,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-8b__int4__u4.json,d823c5c7728913465df933f4d534a0e1fdd8a5d7e4de8f9a18f3dcee115a48de,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int8__u4,granite-8b,int8,u4,SCALAR,SCALAR,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__fp16__u4,granite-8b,fp16,u4,SCALAR,SCALAR,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int4__tbq4,granite-8b,int4,tbq4,TURBO,TURBO,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,23,32,1631.0,13886.695312,,131.676559,7.594366,17969.164062,8535.387,4374.695,1676.617,,5.6042,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-8b__int4__tbq4.json,6c81b73be5d3793c24cb185d1ac0d917bdbc835fe4e7bc9122bffcac15f72030,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int8__tbq4,granite-8b,int8,tbq4,TURBO,TURBO,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__fp16__tbq4,granite-8b,fp16,tbq4,TURBO,TURBO,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int4__u8,granite-8b,int4,u8,SCALAR,SCALAR,u8,u8,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,23,32,1593.0,13955.961914,,131.874298,7.582979,18044.580078,8539.691,4379.102,1613.461,,5.6042,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-8b__int4__u8.json,5cd8ad3dd2c4274a0742db68dbd5a6837d7cfa5569a15a0b9db6f2b21d1646f7,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int8__u8,granite-8b,int8,u8,SCALAR,SCALAR,u8,u8,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__fp16__u8,granite-8b,fp16,u8,SCALAR,SCALAR,u8,u8,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int4__f16,granite-8b,int4,f16,,,f16,f16,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,23,32,1594.0,13917.237305,,131.353668,7.613034,17989.707031,8540.461,4380.539,1646.883,,5.6042,48,experiments\raw-results\openvino-official-upstream\2026-08-30\fv1\raw\granite-8b__int4__f16.json,9ec0df1aac5120b4de30465387252e80744f60501b1a60f89fec006d3221e7db,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__int8__f16,granite-8b,int8,f16,,,f16,f16,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-8b__fp16__f16,granite-8b,fp16,f16,,,f16,f16,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int4__tbq3,granite-30b,int4,tbq3,TURBO,TURBO,u3,u3,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int8__tbq3,granite-30b,int8,tbq3,TURBO,TURBO,u3,u3,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__fp16__tbq3,granite-30b,fp16,tbq3,TURBO,TURBO,u3,u3,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int4__u4,granite-30b,int4,u4,SCALAR,SCALAR,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int8__u4,granite-30b,int8,u4,SCALAR,SCALAR,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__fp16__u4,granite-30b,fp16,u4,SCALAR,SCALAR,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int4__tbq4,granite-30b,int4,tbq4,TURBO,TURBO,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int8__tbq4,granite-30b,int8,tbq4,TURBO,TURBO,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__fp16__tbq4,granite-30b,fp16,tbq4,TURBO,TURBO,u4,u4,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int4__u8,granite-30b,int4,u8,SCALAR,SCALAR,u8,u8,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__int8__u8,granite-30b,int8,u8,SCALAR,SCALAR,u8,u8,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
granite-30b__fp16__u8,granite-30b,fp16,u8,SCALAR,SCALAR,u8,u8,hardware_preflight_blocked,false,conversion_preflight,official source metadata proves conversion cannot preserve the 2 GiB emergency RAM floor on this host,,,,,,,,,,,,,,,,,,,,https://github.com/openvinotoolkit/openvino.git,f5f594dc0c9e5961785f0d17743486d52eac87e7,https://github.com/openvinotoolkit/openvino.genai.git,6fbc103538d30d42da4b0b5130a4792a20f728ba,b9a1f201c109e0bed74763934f79483cf6c4cbf4
