Requirement ID,Category,Priority,Release Role,Lifecycle,Requirement,Acceptance Criteria,Verification Method,Test/Evidence ID,Work Package(s),Status,Planned Evidence Path,Notes / Next Action
F-M11,Functional,Must,Core,Active,"The application must provide Automatic, Quality, Balanced and Efficiency modes when valid alternatives exist.",Each visible mode resolves to a complete valid configuration with a documented ranking rationale; unavailable modes are hidden or disabled; slider label updates correctly.,Mode algorithm tests and UI interaction tests,AC-F-M11,HE-06,In Progress,docs/evidence/requirements/F-M11/,
F-M12,Functional,Must,Core,Active,The application must show the chosen complete configuration before starting an operation.,"Before launch the UI shows model, runtime, backend, actual/requested device target, weight format, KV cache, context, estimated memory, status and selection reason.",UI acceptance test,AC-F-M12,HE-08,Not Started,docs/evidence/requirements/F-M12/,
F-M13,Functional,Must,Core,Active,The application must run local chat with at least one supported Granite GGUF model.,"One real Granite GGUF completes import, inspection, fit, selection, loading and valid local generation through WinUI without manual terminal commands.",End-to-end application test,AC-F-M13,RT-01; RT-02; RT-03; RT-04,Not Started,docs/evidence/requirements/F-M13/,
F-M14,Data Integrity,Must,Core,Active,The application must keep the original model file unchanged.,SHA-256 before and after inspection/processing is identical; generated artefacts use a different path.,Hash integrity test,AC-F-M14,IM-04; QX-01; QX-02,Not Started,docs/evidence/requirements/F-M14/,
F-M15,Usability,Must,Core,Active,The application must give the user a clear next step after a failure.,"Each formal failure case offers a safe action such as Retry, Choose another model/configuration, Open details, or Return to standard route.",Failure/recovery test and usability task,AC-F-M15,IM-07; RT-05; FR-02,Not Started,docs/evidence/requirements/F-M15/,
F-M16,Functional,Must,Core,Active,The application must download at least one approved recommended Granite model from a fixed trusted source.,"A listed model shows source/licence/size/location, downloads with progress, and enters inspection after completion.",Download integration and end-to-end test,AC-F-M16,DL-01; DL-02; DL-03,Not Started,docs/evidence/requirements/F-M16/,New scope item; timetable must be re-baselined.
F-M17,Security / Integrity,Must,Core,Active,"The application must prevent partial, corrupt or unverified downloads from being used as valid models.",Disk space is checked; cancellation/failure leaves no valid-state artefact; final size and SHA-256 match the approved manifest.,"Failure-injection, cancellation and hash tests",AC-F-M17,DL-02; DL-03,Not Started,docs/evidence/requirements/F-M17/,
F-M18,Functional / Security,Must,Core,Active,The WinUI application must launch and control supported local command-line runtimes without requiring the user to enter terminal commands.,"Structured arguments, redirected stdout/stderr, hidden console, startup/error result, timeout and process-tree cleanup all pass tests.","Contract, path-safety and integration tests",AC-F-M18,RT-01; RT-02; RT-05,Not Started,docs/evidence/requirements/F-M18/,
F-M19,Functional / Reliability,Must,Core,Active,Chat and long-running operations must stream progress/output and support safe cancellation.,Output appears during generation; cancellation during loading/generation/download/processing returns a controlled state and leaves no child process or partial valid artefact.,"Streaming, responsiveness, cancellation and cleanup tests",AC-F-M19,IM-03; RT-03; QX-01; DL-02,Not Started,docs/evidence/requirements/F-M19/,
F-M20,Functional,Must,Core,Active,The local chat must support at least two user turns in the same session.,Two sequential prompts complete; second prompt uses the intended session context; reset starts a new session.,Multi-turn end-to-end test,AC-F-M20,RT-04,Not Started,docs/evidence/requirements/F-M20/,
F-M21,Functional / Experimental,Must,App-integrated Experimental,Active,The application must run at least one verified TurboQuant-enabled Granite configuration end to end.,"A pinned supported model/runtime/cache/device combination is selected in WinUI, loads, generates through normal chat, proves TQ activation, records actual state, and supports cancellation.",App-integrated TurboQuant E2E and activation audit,AC-F-M21,QX-03; QX-04,Not Started,docs/evidence/requirements/F-M21/,
F-M22,Reliability,Must,Core,Active,A dependable upstream llama.cpp configuration must remain available when the TurboQuant route is unavailable or fails.,A forced TQ unavailability/failure returns the user to a verified upstream configuration without claiming TQ was active.,Forced-failure and recovery test,AC-F-M22,QX-04; RT-05,Not Started,docs/evidence/requirements/F-M22/,
F-M23,Functional,Must,Core,Active,The application must create one new validated GGUF model artefact through a supported weight-quantisation workflow.,"A suitable source model is processed into a new GGUF, original hash is unchanged, output loads/inspects and can be selected for chat.","Processing integration, hash, reinspection and generation tests",AC-F-M23,QX-01; QX-02,Not Started,docs/evidence/requirements/F-M23/,
F-M24,Traceability / Data,Must,Core,Active,"Each generated model artefact must have a processing manifest containing source/output hashes, tool/version, settings and result.",Manifest is saved for success and classified failure and validates against the agreed schema.,Manifest schema/contract test and evidence audit,AC-F-M24,QX-02,Not Started,docs/evidence/requirements/F-M24/,
F-M25,Functional / Data,Must,App-integrated Experimental,Active,The application must import and preserve at least one supported text-based knowledge file for the bounded retrieval workflow.,"A supported local file is validated, text is extracted/chunked, and the original file hash remains unchanged.","Fixture, extraction, chunking and hash tests",AC-F-M25,TV-01; TV-02,Not Started,docs/evidence/requirements/F-M25/,Exact supported file type and size limit must be frozen.
F-M26,Functional / AI,Must,App-integrated Experimental,Active,The application must create an uncompressed embedding baseline and use the selected TurboVec implementation to compress or optimise the vectors.,"Pinned embedding/TurboVec versions produce both baseline and compressed vector artefacts with recorded dimensions, sizes, timings and hashes.",Adapter integration and artefact-manifest tests,AC-F-M26,TV-01; TV-02; TV-03,Not Started,docs/evidence/requirements/F-M26/,
F-M27,Functional / AI,Must,App-integrated Experimental,Active,The application must retrieve relevant sections from the local index and provide them to the Granite chat workflow.,"For a fixed question set, retrieved chunks are shown/recorded and passed into Granite; answer and retrieval evidence are retained.",Retrieval and end-to-end RAG-style test,AC-F-M27,TV-03; TV-04,Not Started,docs/evidence/requirements/F-M27/,
F-M28,Functional / Usability,Must,Core,Active,The user must be able to copy generated chat output.,Copy action places the exact selected/full generated response on the Windows clipboard and handles empty output safely.,UI/clipboard test,AC-F-M28,RT-03,Not Started,docs/evidence/requirements/F-M28/,
R-M01,Research,Must,Research,Active,The project must compare at least one verified TurboQuant run with a matched standard KV-cache baseline.,"Same model, weights, prompt/template, context, settings, hardware and measurement method; TQ activation proved; differences reported.",Controlled matched experiment,EXP-TQ-COMP-001,QX-04; FR-03,Partially Verified,experiments/processed-results/EXP-TQ-COMP-001/,Final app-integrated matched comparison still required.
R-M02,Research / Scope,Must,Research,Active,"The project must identify, pin and document the exact TurboVec implementation and its role in the release.","Repository, commit/version, licence, platform, input/output, vector representation and retrieval contract are recorded before integration.","Source inspection, licence review and technical spike",DEC-TV-001,PD-10; TV-01,Verified,docs/architecture/decisions/ADR-TurboVec.md,Command-line demonstrator only; intended Intel and application integration remain unvalidated.
R-M03,Research,Must,Research,Active,The project must complete and preserve an official OpenVINO GenAI Granite baseline or a reproducible blocker.,"Exact official-source model/revision, conversion/runtime versions, requested/actual device and outcome are recorded; pass or blocker is reproducible.",Official-source conversion/runtime experiment,EXP-OV-OFFICIAL-001,OV-01; OV-03,Partially Verified,experiments/raw-results/EXP-OV-OFFICIAL-001/,Do not merge community-model evidence with official-source retest.
R-M04,Research,Must,Research,Active,The project must measure memory use for every final test configuration.,"Each final row records available RAM before, peak process-tree working set/private where used, relevant GPU shared memory and measurement definition.",Metrics audit,MET-MEM,FR-03,Partially Verified,experiments/processed-results/final-metrics/,
R-M05,Research,Must,Research,Active,The project must evaluate runtime performance for every final test configuration.,"Cold/warm load, TTFT, prompt speed, generation speed and total response duration are reported where available using fixed definitions and repetitions.",Performance experiment audit,MET-PERF,FR-03,Partially Verified,experiments/processed-results/final-metrics/,
R-M06,Research / AI Quality,Must,Research,Active,The project must compare output quality with a fixed prompt set and scoring guide.,"Prompt/rubric versions are frozen before final comparison; raw answers, instruction/format/fact scores and limitations are retained.",Quality evaluation,QUAL-FINAL,PD-09; FR-03,Partially Verified,experiments/raw-results/quality/,
R-M07,Research,Must,Research,Active,The project must identify the largest stable tested context for selected final configurations.,"A versioned step test records maximum attempted and maximum stable context, success/retrieval result, memory and failure reason; it is not called the model maximum.",Context stability experiment,CTX-FINAL,FR-03,Partially Verified,experiments/processed-results/context/,
R-M08,Research / Evidence,Must,Core,Active,The project must preserve a complete record of every final experiment.,"Each formal experiment has an ID, hardware/model/runtime/config hashes, requested/actual state, command, raw stdout/stderr, measurements, outputs and failure status.",Evidence-manifest audit,EVID-AUDIT,PD-03; PD-08; FR-05,In Progress,experiments/manifests/,
R-M09,Research / Evidence,Must,Core,Active,The project must record failed attempts and known limitations.,"Every formal failure has ID, stage, code, evidence, likely cause, next action and resolution status; limitations appear in final documentation.",Failure-register and report audit,FAIL-AUDIT,PD-03; FR-03; FR-05,Partially Verified,docs/testing/Failure-Register.md,
R-M10,Research / Reproducibility,Must,Core,Active,Another developer must be able to reproduce the clean build and core result from written instructions.,"Independent clean-checkout reproduction completes the documented x64 build, tests and main upstream route; deviations are recorded.",Independent reproduction test,REPRO-001,FR-04; FR-05,Not Started,release-evidence/reproduction/,
R-M11,Research,Must,Research,Active,The project must determine which selected Granite/runtime/backend combinations run reliably on the tested Intel CPU and integrated GPU.,"Matrix includes upstream llama.cpp, selected TQ forks, official OpenVINO and OpenVINO TQ with model, commit/version, build, requested/actual device, success/failure and role.",Cross-route evidence audit,COMPAT-FINAL,PD-09; FR-03,Partially Verified,experiments/processed-results/cross-route/,
R-M12,Research,Must,Research,Active,"The project must assess selected complete configurations against 4 GB, 8 GB and 16 GB total system-memory budgets.","Each result is labelled physical, controlled-limit, calculated or predicted and includes OS/app/model/KV/runtime/shared-memory allowance and uncertainty.",Budget-analysis audit,MEM-BUDGET-001,HE-04; FR-03,Not Started,experiments/processed-results/memory-budgets/,
R-M13,Research / AI Retrieval,Must,Research,Active,The project must compare TurboVec-compressed or optimised vectors with an uncompressed-vector baseline.,"Same documents, chunking, embeddings and queries; compare storage, memory, index/query time, relevance, answer usefulness, failures and stability.",Matched retrieval experiment,EXP-TV-COMP-001,TV-03; TV-04; FR-03,Not Started,experiments/processed-results/EXP-TV-COMP-001/,
R-M14,Research / Estimation,Must,Research,Active,The project must quantify memory-estimator error and false-safe/false-unsafe recommendations.,"Matched rows report predicted, measured, absolute error, percentage error, fit decision, false-safe/false-unsafe and confidence.",Estimator validation experiment,EST-VALID-001,HE-04; FR-03,Not Started,experiments/processed-results/EST-VALID-001/,
N-M01,Quality / Offline,Must,Core,Active,The core workflow must work locally after required models and tools are installed.,"With network disconnected, model inspection, configuration selection and upstream local chat complete using installed assets.",Offline end-to-end test,AC-N-M01,RT-05; FR-02,Not Started,docs/evidence/requirements/N-M01/,
N-M02,Privacy,Must,Core,Active,"The application must not upload models, prompts, knowledge files or answers to a cloud AI service in the core workflow.",Network inspection shows no cloud AI upload during core model/document/chat workflow; any initial approved download is separately documented.,Network/offline check and data-flow review,AC-N-M02,FR-02,Not Started,docs/evidence/requirements/N-M02/,
N-M03,Performance / UX,Must,Core,Active,The application window must remain responsive during long tasks.,UI input/paint remains responsive during each long task; no synchronous runtime call blocks the UI thread.,UI responsiveness test,AC-N-M03,IM-03; RT-03; QX-01; DL-02; TV-03,Not Started,docs/evidence/requirements/N-M03/,
N-M04,Usability,Must,Core,Active,The application must show the current state of a long task.,"Each long operation reports at least Starting, Running/Loading/Generating/Processing, Completed, Cancelled or Failed; progress is determinate where available.",State-transition and UI tests,AC-N-M04,IM-03; RT-03; QX-01; DL-02; TV-03,Not Started,docs/evidence/requirements/N-M04/,
N-M05,Security,Must,Core,Active,The application must handle model/document paths and process arguments safely.,"Tests cover spaces, Unicode, quotes and supported special characters; no shell string concatenation/injection path is used.",Path and argument security tests,AC-N-M05,RT-01; RT-02; QX-01; DL-02; TV-02,Not Started,docs/evidence/requirements/N-M05/,
N-M06,Reliability,Must,Core,Active,The application must clean temporary files and stopped child processes.,"Success, cancellation, timeout and crash tests leave no unintended child process and no partial artefact marked complete.",Cleanup/failure-injection tests,AC-N-M06,RT-03; RT-05; QX-01; DL-02; TV-03,Not Started,docs/evidence/requirements/N-M06/,
N-M07,Evidence / Reliability,Must,Core,Active,"Each final run must record requested and actual backend, device and optimisation state.",Manifest separates requested from actual runtime/backend/device/cache and cites the evidence used to determine actual state.,Manifest audit,AC-N-M07,PD-09; FR-03,Partially Verified,experiments/manifests/,
N-M08,Maintainability / Reproducibility,Must,Core,Active,A clean copy of the repository must build and run its automated tests.,Documented x64 restore/build/test commands pass from a clean checkout in the pinned environment.,Clean-build and CI test,AC-N-M08,PD-08; FR-04,In Progress,release-evidence/clean-build/,
N-M09,Security / Data,Must,Core,Active,"The repository must not contain secrets, personal test data or large proprietary model files.","Release scan finds no credentials, real patient/pupil data, unapproved model weights or prohibited third-party files.",Repository scan,AC-N-M09,PD-08; FR-05,In Progress,release-evidence/repository-scan/,
N-M10,Usability / Transparency,Must,Core,Active,Experimental options must be clearly labelled in the interface.,Every Experimental registry entry displays a persistent label and limitations before selection and launch.,Registry/UI inspection test and UX task,AC-N-M10,HE-02; QX-03; OV-02; TV-04,Not Started,docs/evidence/requirements/N-M10/,
N-M11,Evidence / Reliability,Must,Core,Active,An experimental option must not be reported as active unless activation is proved.,When proof is absent the run is labelled Unverified/Fallback rather than active; supported routes have direct activation evidence.,Log/manifest audit and forced-unverified test,AC-N-M11,QX-03; QX-04; OV-03; TV-03,Partially Verified,docs/evidence/requirements/N-M11/,
N-M12,Security / Architecture,Must,Core,Active,The main local inference route must not require a local web server or open network port.,Main upstream route completes with no listening port created by the application/runtime; evidence is recorded.,Port/network inspection test,AC-N-M12,PD-06; RT-01; RT-02,Not Started,docs/evidence/requirements/N-M12/,
N-M13,Accessibility / Usability,Must,Core,Active,The main workflow must support keyboard operation and Windows text scaling.,Core tasks complete keyboard-only; focus is visible; content remains usable at 200% Windows text scaling with no critical clipping.,Accessibility checklist and task test,AC-N-M13,IM-01; FR-02,Not Started,docs/ux/accessibility/,
N-M14,Release / Maintainability,Must,Core,Active,The project must produce a basic distributable Windows x64 release build with documented dependencies.,"Release artefact launches on the target machine; checksum, commit/tag, runtime dependencies and install/run steps are recorded.",Release smoke and checksum test,AC-N-M14,FR-04; FR-05,Not Started,release-evidence/,
G-M01,Governance,Must,Core,Active,"The project problem, aim, research questions, objectives, first-release scope, exclusions and satisfactory outcome must be version-controlled.","Dated document contains all agreed sections, source links and status; linked from repository README.",Document review and Git history,AC-G-M01,PD-01,In Progress,docs/planning/Project-Definition-v1.md,
G-M02,Governance / Requirements,Must,Core,Active,The project must maintain one versioned MoSCoW requirements baseline with stable IDs and measurable acceptance criteria.,"Every active Must has a stable ID, source, rationale, acceptance and verification; changes are dated and approved.",Requirements quality review,AC-G-M02,PD-04,In Progress,docs/requirements/MoSCoW-Requirements-v1.2.md,
G-M03,Governance / Traceability,Must,Core,Active,"The project must maintain bidirectional traceability from requirements to objectives/RQs, work packages, implementation, tests and evidence.","No active Must row lacks source, rationale, acceptance, WP, component, verification, evidence path, owner and status; release audit confirms reverse links.",RTM completeness formula and manual audit,AC-G-M03,PD-04; FR-01; FR-05,In Progress,docs/requirements/Requirements-Traceability-Matrix.md,
G-M04,Architecture / Governance,Must,Core,Active,"The project must record proportionate architecture views, key ADRs, stable contracts, states and diagnostic codes.","Context/component/process/deployment views and ADRs for WinUI, adapters/no port, upstream/TQ/OpenVINO/TurboVec/evidence agree with code and requirements.",Architecture consistency review,AC-G-M04,PD-06; PD-07,Not Started,docs/architecture/,
G-M05,Risk / Governance,Must,Core,Active,"The project must maintain a consolidated risk, assumption, constraint and licence register.","Each high risk has probability, impact, owner, trigger, validation, mitigation, contingency and status; assumptions are confirmed/rejected with evidence; licences are reviewed.",Register audit,AC-G-M05,PD-05; FR-05,In Progress,docs/risks/,
G-M06,Governance / Change Control,Must,Core,Active,"Requirement and scope changes must be linked to dated decisions, GitHub issues, pull requests/commits and affected tests.","Every approved change records reason, date, affected IDs/WPs/tests/report sections and superseded/replacement links.",Change-log/PR audit,AC-G-M06,PD-04; PD-08; FR-05,Not Started,docs/planning/Change-Log.md,
G-M07,Evidence / Governance,Must,Core,Active,"Irreplaceable raw evidence from completed feasibility campaigns must be recovered, hashed, indexed and backed up.","Upstream, AtomicBot, animehacker and OpenVINO campaigns each have model/runtime/hash manifest, raw-output location, checksum and independent backup or explicit gap.",Evidence recovery audit,AC-G-M07,PD-03,Partially Verified,docs/evidence/Evidence-Recovery-Index.md,
G-M08,Documentation,Must,Core,Active,"The release must include a README, user manual, developer/build guide, known limitations and final feature-status table.",Documents cover install/run/use/build/test/evidence/limitations; feature statuses match the RTM.,Documentation and walkthrough review,AC-G-M08,FR-04,Not Started,docs/manuals/,
G-M09,Release / Reporting,Must,Core,Active,"The final release must be tied to a Git tag, checksums, evidence pack, independent backup and evidence-based answers to every RQ.",Tag/commit/checksums/backups exist; all Must rows have final status/evidence; report answers each RQ and states limitations/negative results.,Final release gate audit,AC-G-M09,FR-05,Not Started,release-evidence/,
F-S01,Functional,Should,Should,Active,The application should support drag-and-drop model import.,Supported file drop follows the same validation path; invalid/multiple drops are handled.,UI drag/drop tests,AC-F-S01,IM-03,Not Started,docs/evidence/requirements/F-S01/,
F-S02,Functional,Should,Should,Active,The application should recognise complete OpenVINO IR model folders.,Valid XML/BIN/tokenizer/config folder is recognised and incomplete folder receives a classified result.,Folder fixture matrix,AC-F-S02,IM-06; OV-02,Not Started,docs/evidence/requirements/F-S02/,
F-S03,Functional,Should,Should,Active,The application should recognise selected Hugging Face/Safetensors model folders.,Selected known folder structures are classified without being falsely treated as directly runnable GGUF.,Folder fixture tests,AC-F-S03,IM-06,Not Started,docs/evidence/requirements/F-S03/,
F-S04,Functional,Should,Should,Active,The user should be able to change the requested context length before configuration selection.,Only supported range/steps are allowed and estimator/configuration update immediately.,Boundary and UI tests,AC-F-S04,HE-06; HE-07,Not Started,docs/evidence/requirements/F-S04/,
F-S08,Functional,Should,Should,Active,The user should be able to copy or save the technical inspection report.,Report includes model/hardware/result/assumptions without secrets or sensitive prompts.,Export content test,AC-F-S08,IM-07,Not Started,docs/evidence/requirements/F-S08/,
F-S11,Functional,Should,Should,Active,The application should provide one official OpenVINO GenAI inference route after its integration gate passes.,"Pinned supported official-source configuration launches from WinUI, records actual device and generates or is explicitly deferred after gate review.",App integration E2E test,AC-F-S11,OV-01; OV-02,Not Started,docs/evidence/requirements/F-S11/,
F-S12,Functional,Should,Should,Active,The application should export benchmark results as CSV or JSON.,"Export validates against schema and contains units, evidence classification and requested/actual state.",Schema/export test,AC-F-S12,FR-03,Not Started,docs/evidence/requirements/F-S12/,
F-S15,Functional / Research,Should,Should,Active,The project should provide one verified source-to-OpenVINO model-preparation route.,"Pinned IBM source revision converts in a clean recorded environment and the output passes structure/runtime checks, or a reproducible blocker is preserved.",Conversion and runtime test,AC-F-S15,OV-01; OV-03,In Progress,experiments/raw-results/openvino-conversion/,
N-S02,Release,Should,Should,Active,The project should provide a simple packaged installation route such as MSIX.,Fresh install/uninstall works on the target Windows machine and dependencies/limitations are documented.,Installation test,AC-N-S02,FR-04,Not Started,release-evidence/installer/,
C-02,Functional / Future,Could,Could,Active,The application could keep a local benchmark history.,"When approved, completed benchmark summaries can be stored, listed and removed locally without storing sensitive prompt or document content.",Repository and privacy tests,Scope review,FR-03; FR-05,Not Started,docs/evidence/requirements/C-02/,Only after core evidence/export is stable.
C-03,Functional / Future,Could,Could,Active,The application could show charts for memory and speed trade-offs.,"When approved, charts label units and distinguish measured, estimated and externally reported values.",Chart and data-classification test,Scope review,FR-03,Not Started,docs/evidence/requirements/C-03/,Dashboard visualisation is optional.

