source_id,category,title,author_or_owner,year,source_type,url,identifier,reliability,status,access_date,used_for,notes
SRC-OV-GENAI-GITHUB,Canonical source repository,openvinotoolkit/openvino.genai,Intel OpenVINO team,2026,GitHub repository,https://github.com/openvinotoolkit/openvino.genai,,A2,verified,2026-07-14,"OpenVINO GenAI source, examples and current implementation details",Pin a commit for experiments.
SRC-OV-LLMPIPELINE-2025,Official OpenVINO API documentation,openvino_genai.LLMPipeline (2025 documentation snapshot),Intel OpenVINO team,2025,Official API documentation,https://docs.openvino.ai/2025/api/genai_api/_autosummary/openvino_genai.LLMPipeline.html,,A2,verified,2026-07-14,Original LLMPipeline API reference used in the supplied research,Retained for historical traceability; prefer the current 2026 documentation for new work.
SRC-LLAMACPP-GITHUB,Canonical source repository,ggml-org/llama.cpp,ggml-org,2026,GitHub repository,https://github.com/ggml-org/llama.cpp,,A2,verified,2026-07-14,"GGUF inference, command-line execution, backends and cache integration baseline",Fast-moving project; always pin commit and build flags.
SRC-LMSTUDIO-DOCS,Official application documentation,LM Studio documentation,LM Studio,2026,Official documentation,https://lmstudio.ai/docs/app,,A2,verified,2026-07-14,"Local model UI, supported runtimes and document-chat overview",Application behaviour can change by version.
SRC-LMSTUDIO-SERVER,Official application documentation,LM Studio local API server,LM Studio,2026,Official documentation,https://lmstudio.ai/docs/developer/core/server,,A2,verified,2026-07-14,Local REST/API server capabilities,Record LM Studio and runtime version in tests.
SRC-LMSTUDIO-OFFLINE,Official application documentation,LM Studio offline operation,LM Studio,2026,Official documentation,https://lmstudio.ai/docs/app/offline,,A2,verified,2026-07-14,What remains available after models are downloaded and internet is disconnected,Validate offline behaviour on the target Windows machine.
SRC-OLLAMA-QUICKSTART,Official application documentation,Ollama quickstart,Ollama,2026,Official documentation,https://docs.ollama.com/quickstart,,A2,verified,2026-07-14,Installation and basic local-model workflow,Version-sensitive.
SRC-OLLAMA-API,Official API documentation,Ollama API introduction,Ollama,2026,Official documentation,https://docs.ollama.com/api/introduction,,A2,verified,2026-07-14,Local API endpoint and request model,Record API/runtime version during development.
SRC-OLLAMA-USAGE,Official API documentation,Ollama generate endpoint and performance fields,Ollama,2026,Official documentation,https://docs.ollama.com/api/generate,,A2,verified,2026-07-14,Prompt/generation counts and durations used to calculate throughput,Use raw fields rather than UI estimates when possible.
SRC-OLLAMA-IMPORT,Official application documentation,Importing a model into Ollama,Ollama,2026,Official documentation,https://docs.ollama.com/import,,A2,verified,2026-07-14,Model import and Modelfile workflow,Check whether the chosen Granite format is supported.
SRC-MS-WINUI3-2026,Official Microsoft documentation,WinUI 3,Microsoft,2026,Official documentation,https://learn.microsoft.com/en-us/windows/apps/winui/winui3/,,A2,verified,2026-07-14,Native Windows UI framework and XAML/C# application structure,Primary online reference for the desktop UI.
SRC-MS-WINDOWS-APP-SDK-2026,Official Microsoft documentation,Windows App SDK,Microsoft,2026,Official documentation,https://learn.microsoft.com/en-us/windows/apps/windows-app-sdk/,,A2,verified,2026-07-14,"Windows application APIs, packaging and deployment foundation",Use stable release channel unless a documented need requires preview APIs.
SRC-MS-WINDOWS-DESKTOP-2026,Official Microsoft documentation,Build desktop apps for Windows,Microsoft,2026,Official documentation,https://learn.microsoft.com/en-us/windows/apps/desktop/,,A2,verified,2026-07-14,"Windows desktop development, design, packaging and distribution overview",Online equivalent/current companion to windows-apps.pdf.
SRC-REPO-AMESIANX,Practical implementation repository,AmesianX/TurboQuant,AmesianX,2026,GitHub repository,https://github.com/AmesianX/TurboQuant,,B1,verified,2026-07-14,One practical TurboQuant-style llama.cpp implementation reviewed by the project,Repository claims are not project results. Use the commit recorded in the internal review.
SRC-REPO-ATOMICBOT,Practical implementation repository,AtomicBot-ai/atomic-llama-cpp-turboquant,AtomicBot-ai,2026,GitHub repository,https://github.com/AtomicBot-ai/atomic-llama-cpp-turboquant,,B1,verified,2026-07-14,Intel Vulkan-oriented practical candidate and source-code review,Pin the reviewed branch and commit; re-run on Granite and target Intel hardware.
SRC-REPO-ANIMEHACKER,Practical implementation repository,animehacker/llama-turboquant,animehacker,2026,GitHub repository,https://github.com/animehacker/llama-turboquant,,B1,verified,2026-07-14,Practical Stage-1-style implementation and review,README explicitly distinguishes implementation scope; verify active code path.
SRC-REPO-ATOMICMILKSHAKE,Practical implementation repository,atomicmilkshake/llama-cpp-turboquant,atomicmilkshake,2026,GitHub repository,https://github.com/atomicmilkshake/llama-cpp-turboquant,,B1,verified,2026-07-14,TurboQuant formats and TriAttention experimental route,Experimental fork; claims require reproduction.
SRC-REPO-BEELLAMA,Practical implementation repository,Anbeeld/beellama.cpp,Anbeeld,2026,GitHub repository,https://github.com/Anbeeld/beellama.cpp,,B1,verified,2026-07-14,DFlash/TurboQuant practical implementation review,This public URL replaces the missing URL in the earlier package.
SRC-REPO-SPIRITBUUN,Practical implementation repository,spiritbuun/buun-llama-cpp,spiritbuun,2026,GitHub repository,https://github.com/spiritbuun/buun-llama-cpp,,B1,verified,2026-07-14,CUDA-focused TurboQuant-style fork review,The repository has also appeared under a turboquant-cuda URL; use the canonical redirect and pin a commit.
SRC-REPO-THEPRADIP,Practical implementation repository,thepradip/turboquant-llamacpp,thepradip,2026,GitHub repository,https://github.com/thepradip/turboquant-llamacpp,,B1,verified,2026-07-14,Lloyd-Max cache format implementation review,Repository README claims are author-reported until reproduced.
SRC-REPO-THETOM,Practical implementation repository,TheTom/llama-cpp-turboquant,TheTom,2026,GitHub repository,https://github.com/TheTom/llama-cpp-turboquant,,B1,verified,2026-07-14,Production-oriented TurboQuant+ implementation review,Fast-moving fork; the current repository may have advanced beyond the supplied review.
SRC-REPO-TIREDOFEVERYTHING,Practical implementation repository,TiredOfEverything/llama-cpp-turboquant,TiredOfEverything,2026,GitHub repository,https://github.com/TiredOfEverything/llama-cpp-turboquant,,B1,verified,2026-07-14,Practical implementation review and comparison,Pin the exact reviewed commit before drawing conclusions.
SRC-REPO-UNIXSYSDEV,Practical implementation repository,unixsysdev/llama-turboquant,unixsysdev,2026,GitHub repository,https://github.com/unixsysdev/llama-turboquant,,B1,verified,2026-07-14,TQ3_0-style practical implementation review,README claims require source inspection and local reproduction.
SRC-GOOGLE-TURBOQUANT-BLOG,Official research communication,TurboQuant: redefining AI efficiency with extreme compression,Google Research,2026,Official research blog,https://research.google/blog/turboquant-redefining-ai-efficiency-with-extreme-compression/,,B1,verified,2026-07-14,Plain-language overview and public context,"Use the formal paper for exact algorithms, assumptions and numeric claims."
SRC-TURBOQUANT-TOOLS,Secondary implementation guide,How to use TurboQuant,turbo-quant.com,2026,Community website,https://turbo-quant.com/how-to-use-turboquant,,C1,verified,2026-07-14,Orientation only,Do not use as sole evidence for technical or academic claims.
SRC-PRIVATE-SHAREPOINT-RETIRED,Retired private source,Private UCL SharePoint document recorded in the original research,Unknown/private workspace,2026,Private link,,Original private SharePoint URL preserved only in 98-source-extracts and 99-original-docx,R,retired,2026-07-14,Audit history only,Not publicly reproducible. Replaced in curated notes by public IBM/model-card sources.
SRC-BOOK-AI-ENGINEERING-2025,Project reference book,AI Engineering: Building Applications with Foundation Models,Chip Huyen,2025,Book,,ISBN 978-1-098-16630-4,A1,project-library,2026-07-14,"Evaluation methodology, model selection, inference metrics and optimisation","See Chapters 3, 4 and 9. Do not redistribute the copyrighted PDF."
SRC-BOOK-ENGINEERING-SOFTWARE-PRODUCTS-2021,Project reference book,Engineering Software Products: An Introduction to Modern Software Engineering,Ian Sommerville,2021,Book,,ISBN 978-1-292-37634-9,A1,project-library,2026-07-14,"Product vision, agile work, features, scenarios, testing and code management",Use Chapters 1-4 and the testing/DevOps chapters. Do not redistribute the copyrighted PDF.
SRC-BOOK-SYSTEMS-ENGINEERING-2020,Project reference book,"Systems Engineering: Principles and Practice, Third Edition","Alexander Kossiakoff, Samuel J. Seymour, David A. Flanigan and Steven M. Biemer",2020,Book,,ISBN 978-1-119-51666-8,A1,project-library,2026-07-14,"Lifecycle, requirements traceability, risk, integration and test evidence","See Chapters 3, 6, 12, 14 and 17. Do not redistribute the copyrighted PDF."
SRC-BOOK-SOFTWARE-ARCHITECTURE-2025,Project reference book,"Fundamentals of Software Architecture: A Modern Engineering Approach, Second Edition",Mark Richards and Neal Ford,2025,Book,,ISBN 978-1-098-17551-1,A1,project-library,2026-07-14,"Architecture characteristics, modularity, trade-offs and decision records",See Chapters 2-6 and 19. Do not redistribute the copyrighted PDF.
SRC-BOOK-UX-2019,Project reference book,"The UX Book: Agile UX Design for a Quality User Experience, Second Edition",Rex Hartson and Pardha Pyla,2019,Book,,ISBN 978-0-12-805342-3,A1,project-library,2026-07-14,"User research, requirements, prototyping and UX evaluation","See Chapters 10, 20-27 and 29. Do not redistribute the copyrighted PDF."
SRC-UCL-MSC-PROJECT-GUIDE-2026,Official project guidance,MSc Computer Science COMP0073 Summer 2026 Individual Projects,UCL Department of Computer Science,2026,Project handbook,,Project-library PDF: MScProjects2526.pdf,A1,project-library,2026-07-14,"Report structure, project conduct, evidence, academic integrity and submission requirements",Internal course document; cite it in the report according to UCL guidance.
SRC-MS-WINDOWS-APPS-PDF,Project reference snapshot,Build desktop apps for Windows,Microsoft,2026,PDF documentation snapshot,,Project-library PDF: windows-apps.pdf,A2,project-library,2026-07-14,"WinUI, Windows App SDK, design, packaging and deployment",Use together with the current Microsoft Learn pages.
