case_id,model,weight_precision,cache_codec,key_cache_codec,value_cache_codec,status,executed,failure_stage,failure_reason,model_path,model_sha256,model_size_bytes,fork_url,fork_branch,fork_commit,context_tokens,max_new_tokens,load_ms,ttft_ms,prompt_tps,tpot_ms,decode_tps,generation_duration_ms,peak_working_set_mb,peak_private_mb,available_ram_min_mb,kv_mb,quality_score,quality_prompt_count,raw_result_path,raw_result_sha256
granite-3b__int8__u4,granite-3b,int8,u4,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1825.0,955.917114,,96.689186,10.342418,3953.791016,6637.652,3421.43,3088.867,,6.0833,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__u4.json,f80681f079534184022741760ee55c9a86274742945d701318ba993eb2eb3e0b
granite-3b__fp16__u4,granite-3b,fp16,u4,u4,u4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__tbq4,granite-3b,int4,tbq4,tbq4,tbq4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1574.0,5459.310059,,60.150002,16.625103,7324.505859,3632.941,1911.465,6712.078,,5.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__tbq4.json,8c5119f1242660a9bb6de59d7fc6ae174a3cc1200ccb2e6eec0da981436d8385
granite-3b__int8__tbq4,granite-3b,int8,tbq4,tbq4,tbq4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1808.0,987.274841,,96.29628,10.384617,3972.947998,6639.398,3422.684,3633.535,,5.9375,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__tbq4.json,c56924db2c13a2b4fd607be571f8913f7203e283b4888213018f1304915fdf04
granite-3b__fp16__tbq4,granite-3b,fp16,tbq4,tbq4,tbq4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__polar4,granite-3b,int4,polar4,polar4,polar4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1586.0,5776.168945,,63.140453,15.837707,7733.987793,3631.453,1910.445,6626.57,,6.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__polar4.json,b470c3eeed1d521938eccf26e1c0dc89b6fed76ba6b084a226a46a57fc7c3548
granite-3b__int8__polar4,granite-3b,int8,polar4,polar4,polar4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1790.0,963.089233,,100.397125,9.960445,4075.906006,6639.785,3424.07,3651.707,,5.5,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__polar4.json,b391720b21949e7b69cff374129b998d67f5b55cca2c82350fb82ff2689713ef
granite-3b__fp16__polar4,granite-3b,fp16,polar4,polar4,polar4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__tbq4_qjl,granite-3b,int4,tbq4_qjl,tbq4_qjl,tbq4_qjl,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1548.0,5635.446777,,60.214634,16.607259,7502.574219,3632.68,1910.762,6526.777,,5.4375,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__tbq4_qjl.json,4c0d076ee2bd458bca7a80489c21d482ea2bc911c7886cc821c8252c3d7d99a9
granite-3b__int8__tbq4_qjl,granite-3b,int8,tbq4_qjl,tbq4_qjl,tbq4_qjl,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1829.0,1048.270752,,97.856956,10.218998,4082.337891,6637.863,3421.984,3633.781,,5.625,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__tbq4_qjl.json,cc009c748d7f1a4bd538d689e65cd4704a50259f49d41e8e2c5e3598d72ddd14
granite-3b__fp16__tbq4_qjl,granite-3b,fp16,tbq4_qjl,tbq4_qjl,tbq4_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__u8,granite-3b,int4,u8,u8,u8,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1609.0,5560.893066,,58.388161,17.12676,7371.692871,3633.441,1911.652,6715.848,,0.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__u8.json,5447b448375f963c2c1888e1dbde74a37f646d22d4cf6fe25a202b6b4a260c91
granite-3b__int8__u8,granite-3b,int8,u8,u8,u8,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1849.0,953.454041,,95.613647,10.458758,3917.929932,6642.008,3426.844,3672.789,,0.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__u8.json,2fefb3c8ab9f5d3d895f0265deaf568e8a4ce6c99d3fbbd14d8f0759cacc0d94
granite-3b__fp16__u8,granite-3b,fp16,u8,u8,u8,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-3b__int4__f16,granite-3b,int4,f16,f16,f16,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int4-cw-ov-ea0231a,6da1029abd4a1464a94a571ac6a6a950c262b226c15912915a721e0643f7c708,1832903073,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1566.0,5474.490234,,58.920334,16.972069,7301.508789,3635.02,1913.324,6504.5,,0.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int4__f16.json,79a9263dad4e80da3555dc86ea49b786d2f55339ab453713d89f17e5b77c7494
granite-3b__int8__f16,granite-3b,int8,f16,f16,f16,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-3b-int8-ov-f858c9e,f92a009e300ee1c01edc8a6cbaf4f591e2998421757ce63c090d75a5687faa06,3406770593,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,24,32,1833.0,1019.314453,,94.87439,10.540252,3960.894043,6640.77,3424.672,3694.75,,0.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-3b__int8__f16.json,ae5c6e52fff82eb29257786af2dd4601ddbff1c5aaab5b9d08d31cd503486eea
granite-3b__fp16__f16,granite-3b,fp16,f16,f16,f16,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-3b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__tbq3,granite-8b,int4,tbq3,tbq3,tbq3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1585.0,15094.581055,,135.729736,7.367582,19302.699219,8533.848,4372.73,1829.082,,5.375,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__tbq3.json,f2a741281dd0b9183db14d39970e9f82cc01adac4c6fc285f9647e4d8a5cccd3
granite-8b__int8__tbq3,granite-8b,int8,tbq3,tbq3,tbq3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__tbq3,granite-8b,fp16,tbq3,tbq3,tbq3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__polar3,granite-8b,int4,polar3,polar3,polar3,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1505.0,13918.449219,,132.705307,7.535494,18032.787109,8534.48,4373.961,2032.422,,3.8333,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__polar3.json,26b7bbb5d2589e6c6da856bdcddbccf168b4b7612ff12f70e76a0164f504bed5
granite-8b__int8__polar3,granite-8b,int8,polar3,polar3,polar3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__polar3,granite-8b,fp16,polar3,polar3,polar3,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__tbq3_qjl,granite-8b,int4,tbq3_qjl,tbq3_qjl,tbq3_qjl,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1511.0,14031.924805,,130.986603,7.634369,18093.003906,8534.418,4373.316,2107.168,,5.25,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__tbq3_qjl.json,4bedc2626149dfdf0286a6e8e4a0d8973e6eb945779e6ccf05c165043c0a737f
granite-8b__int8__tbq3_qjl,granite-8b,int8,tbq3_qjl,tbq3_qjl,tbq3_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__tbq3_qjl,granite-8b,fp16,tbq3_qjl,tbq3_qjl,tbq3_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__u4,granite-8b,int4,u4,u4,u4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1540.0,14452.326172,,126.673882,7.894287,18379.707031,8534.902,4373.965,2050.855,,5.0833,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__u4.json,ea1f2beffbb85363459783a865c047c5add6a241f97301dd6a2b011f8d8b5952
granite-8b__int8__u4,granite-8b,int8,u4,u4,u4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__u4,granite-8b,fp16,u4,u4,u4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__tbq4,granite-8b,int4,tbq4,tbq4,tbq4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1556.0,14146.05957,,128.779282,7.765224,18138.695312,8535.555,4374.512,2252.828,,5.9792,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__tbq4.json,3e1b64a8a20bfcba2c9eb1c531115f7ed6d82290424a47298070bc7c3fcd7500
granite-8b__int8__tbq4,granite-8b,int8,tbq4,tbq4,tbq4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__tbq4,granite-8b,fp16,tbq4,tbq4,tbq4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__polar4,granite-8b,int4,polar4,polar4,polar4,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1588.0,13939.860352,,133.776459,7.475157,18087.427734,8536.141,4375.918,2251.402,,5.4375,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__polar4.json,5d898bb28644eec31094bdf475722439bae0056da20dc673a490725e94277ec7
granite-8b__int8__polar4,granite-8b,int8,polar4,polar4,polar4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__polar4,granite-8b,fp16,polar4,polar4,polar4,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__tbq4_qjl,granite-8b,int4,tbq4_qjl,tbq4_qjl,tbq4_qjl,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1607.0,14518.374023,,135.788223,7.364409,18728.296875,8535.789,4375.305,2226.453,,5.375,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__tbq4_qjl.json,f03088fc329e6b1df4ddc1d50693fbb89ea972d18d93eaa00ef9c7c1020989e9
granite-8b__int8__tbq4_qjl,granite-8b,int8,tbq4_qjl,tbq4_qjl,tbq4_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b int8,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__fp16__tbq4_qjl,granite-8b,fp16,tbq4_qjl,tbq4_qjl,tbq4_qjl,model_artifact_unavailable,false,model_acquisition,no validated OpenVINO artifact supplied for granite-8b fp16,,,,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,,,,,,,,,,,,,,,,
granite-8b__int4__u8,granite-8b,int4,u8,u8,u8,passed,true,,,C:\Users\Student\IBM-Granite-Edge-AI-Optimisation-using-TurboQuant\.worktrees\openvino-turboquant-recovery\external\models\openvino\granite-4.1-8b-int4-cw-ov-d84b1d1,789db59c53b45da8b8143b90f11d268597658d6f9eae6cbb049c20343b01fcd4,4400454177,https://github.com/EgorDuplensky/openvino.git,turbo_quant,1827f6458d049de11c1a8203c793af67c99935dc,23,32,1652.0,14730.056641,,130.531342,7.660995,18777.015625,8539.164,4380.25,2212.105,,0.0,48,experiments\raw-results\openvino-experimental-fork\2026-08-30\fv6\raw\granite-8b__int4__u8.json,aff450f6d272771f3d81628cab6ffd8ea99e9735938367b32264bee721dd9879
